Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Maths,medium,A shop reduces a £60 jacket by 30%. What is the sale price?,£18,£42,£48,£30,£42,Find 30% of £60 then subtract it from the original price.,PERCENTAGE DISCOUNT: 30% of £60 = £18. Sale price = £60 − £18 = £42. OR: 100%−30%=70% of £60 = 0.7×60 = £42.,Percentages
Maths,medium,"Share £120 between A and B in the ratio 3:5. How much does A receive?",£40,£45,£50,£72,£45,Find the total parts first then work out the value of one part.,RATIO: 3+5=8 parts total. Value of 1 part = £120÷8 = £15. A gets 3 parts = 3×£15 = £45. B gets 5×£15 = £75. Check: 45+75=120 ✓,Ratio
Maths,medium,"What is the area of a triangle with base 10cm and height 6cm?",60cm²,30cm²,16cm²,20cm²,30cm²,The formula for triangle area involves base and height — but remember the special fraction in the formula.,AREA OF TRIANGLE = ½ × base × height = ½ × 10 × 6 = 30cm². Always halve the base × height. This works for ALL triangles when you use the perpendicular height.,Area
Maths,medium,"Solve: 3x + 7 = 22. What is x?",4,5,6,7,5,The goal is to get x alone. Undo the +7 first then undo the ×3.,SOLVING EQUATIONS: 3x+7=22 → subtract 7 from both sides: 3x=15 → divide both sides by 3: x=5. Always do the same to both sides.,Algebra
Maths,medium,What is the mean of 4 7 2 9 and 3?,4,5,6,7,5,Mean = total sum divided by how many numbers there are.,MEAN (average) = sum ÷ count. 4+7+2+9+3=25. 25÷5=5. MEDIAN = middle value (sort first: 2 3 4 7 9 → median=4). MODE = most frequent.,Averages
Maths,medium,"What are the interior angles of a triangle?",90°,180°,270°,360°,180°,Think of a triangle being 'unrolled' into a straight line — a straight line is how many degrees?,ANGLES IN SHAPES: Triangle = 180°. Quadrilateral = 360°. Pentagon = 540°. Rule: (n−2)×180° where n = number of sides.,Angles
Maths,medium,"If a car travels at 60mph, how long does it take to travel 90 miles?",1 hour,1.5 hours,2 hours,45 mins,1.5 hours,Use the formula: Time = Distance ÷ Speed,TIME = DISTANCE ÷ SPEED = 90 ÷ 60 = 1.5 hours = 1 hour 30 minutes. 0.5 hours = 30 minutes.,Speed Distance Time
Maths,medium,A recipe needs 300g of flour for 4 people. How much for 10 people?,600g,650g,700g,750g,750g,Find the amount for 1 person first (unitary method) then multiply by 10.,UNITARY METHOD: 300g ÷ 4 = 75g per person. For 10 people: 75 × 10 = 750g. Always find the 'one unit' value first in proportion problems.,Proportion
Maths,medium,What is 2.4 × 0.5?,1.2,1.4,0.12,12,1.2,0.5 is the same as a half. What is half of 2.4?,DECIMALS: 0.5 = ½. 2.4 × 0.5 = 2.4 ÷ 2 = 1.2. Multiplying by 0.1 = divide by 10. Multiplying by 0.5 = divide by 2.,Decimals
Maths,medium,"What is the next term: 2, 5, 10, 17, 26, ___?",35,37,36,38,37,The differences between terms are: 3 5 7 9 — what comes next in that pattern?,SEQUENCES WITH INCREASING DIFFERENCES: 2→5(+3)→10(+5)→17(+7)→26(+9)→37(+11). The differences increase by 2 each time. This is a quadratic sequence.,Number Sequences
Maths,hard,"If 2x + 3y = 12 and x = 3, what is y?",1,2,3,4,2,Substitute x=3 into the equation and solve for y.,SUBSTITUTION: 2(3)+3y=12 → 6+3y=12 → 3y=6 → y=2. Always substitute known values first then solve the resulting one-variable equation.,Algebra
Maths,hard,A bag has 3 red 5 blue and 2 green balls. What is P(not red)?,3/10,7/10,1/3,2/5,7/10,Find the probability of NOT red: this includes ALL other colours combined.,PROBABILITY: P(not red) = 1 − P(red) = 1 − 3/10 = 7/10. Or count non-red balls: 5+2=7 out of 10. Complementary probability: P(A) + P(not A) = 1.,Probability
Maths,hard,"Factorise: x² + 5x + 6",( x+2)(x+3),(x+1)(x+6),(x+2)(x+4),(x+3)(x+4),(x+2)(x+3),Find two numbers that multiply to 6 AND add to 5.,FACTORISING QUADRATICS: x²+5x+6. Find pairs that multiply to 6: (1×6) (2×3). Which adds to 5? → 2+3=5. So (x+2)(x+3). Check by expanding: x²+3x+2x+6=x²+5x+6 ✓,Algebra
Maths,hard,"A cyclist travels 12km at 16km/h then 8km at 8km/h. What is the average speed for the whole journey?",11km/h,12km/h,12.5km/h,10.67km/h,12km/h,Average speed = TOTAL distance ÷ TOTAL time (not the average of the two speeds).,AVERAGE SPEED = Total Distance ÷ Total Time. Time₁=12÷16=0.75h. Time₂=8÷8=1h. Total distance=20km. Total time=1.75h. Avg speed=20÷1.75≈11.4km/h. NEVER average the speeds.,Speed Distance Time
Maths,hard,The area of a circle is 49π cm². What is the radius?,7cm,14cm,7π cm,49cm,7cm,Area of circle = πr². Set πr² = 49π and solve for r.,CIRCLE FORMULAE: Area = πr². Circumference = 2πr = πd. If πr²=49π → r²=49 → r=√49=7cm. Diameter = 2r = 14cm.,Circle Geometry
Maths,hard,"A number is increased by 20% then decreased by 20%. What is the overall % change?",0%,−4%,+4%,−2%,−4%,Try with a starting number like 100. Increase then decrease and see what happens.,PERCENTAGE CHANGE: Start=100. +20%=120. −20% of 120=24. 120−24=96. Change=96−100=−4. Overall: −4%. Percentages are NOT additive — always work from the current value.,Percentages
Maths,hard,"The angles of a quadrilateral are 70° 110° 85° and x°. Find x.",85°,90°,95°,100°,95°,Angles in a quadrilateral always add up to a specific total. Use that total to find the missing one.,ANGLES IN A QUADRILATERAL sum to 360°. 70+110+85+x=360 → 265+x=360 → x=95°. Formula: (n−2)×180° → (4−2)×180=360°.,Angles
Maths,hard,"If the volume of a cuboid is 120cm³ with length 5cm and width 4cm, find the height.",4cm,5cm,6cm,7cm,6cm,Volume = length × width × height. Rearrange to find height.,VOLUME OF CUBOID = length × width × height. 120 = 5 × 4 × h → 120 = 20h → h = 6cm. Volume is measured in cubic units (cm³).,Volume
Maths,hard,"A car depreciates in value by 15% per year. It costs £20000 new. What is its value after 2 years?",£14450,£14400,£14000,£13250,£14450,After year 1 it's worth 85% of the original. Then take 85% of THAT value for year 2.,COMPOUND DEPRECIATION: Year1 = 20000×0.85=17000. Year2 = 17000×0.85=14450. Formula: Final = Initial × (multiplier)ⁿ = 20000×(0.85)²=14450.,Compound Percentages
Maths,hard,"Find the nth term of: 3, 7, 11, 15, 19...",2n+1,4n−1,3n+1,n+4,4n−1,Find the common difference. It is the coefficient of n. Then work out the constant.,NTH TERM of arithmetic sequence: difference=4 so 4n. When n=1: 4×1=4 but we need 3 → subtract 1 → 4n−1. Check: n=2: 4×2−1=7 ✓ n=3: 4×3−1=11 ✓,Number Sequences
Maths,hard,"Solve: 5(2x − 3) = 25",4.5,3.5,4,5.5,4,Expand the brackets first then solve the linear equation.,EXPANDING AND SOLVING: 5(2x−3)=25 → 10x−15=25 → 10x=40 → x=4. Check: 5(2×4−3)=5(8−3)=5×5=25 ✓. Always expand brackets before collecting terms.,Algebra
Verbal Reasoning,easy,HOT is to COLD as DAY is to ___,Sun,Night,Warm,Light,Night,HOT and COLD are opposites. Find the opposite of DAY.,ANALOGIES: Identify the relationship. HOT→COLD = antonyms (opposites). So DAY→? must also be an antonym. DAY↔NIGHT. Types: synonyms / antonyms / category / function / degree.,Analogies
Verbal Reasoning,easy,Which word does NOT belong: cat dog hamster eagle fish?,cat,dog,hamster,eagle,eagle,Think about what all the other words have in common. What makes one of them different?,ODD ONE OUT: cat/dog/hamster/fish are all common household PETS. Eagle is a wild bird — not typically kept as a pet. Find the category that fits the majority.,Odd One Out
Verbal Reasoning,easy,"What is the missing number: 2, 4, 6, 8, ___?",9,10,12,11,10,These numbers increase by the same amount each time. Find the rule.,NUMBER SEQUENCES: 2 4 6 8 10 — even numbers / adding 2 each time. Always find the DIFFERENCE between consecutive terms to establish the rule.,Number Sequences
Verbal Reasoning,easy,Find the hidden word in: GRANDFATHER,and,ran,far,the,and,A hidden word uses consecutive letters from inside a longer word. Work through systematically.,HIDDEN WORDS: scan the letters in order for 3-letter words: GRA-NDfath-er. 'and' appears in grANDfather. Method: cover letters from left then right to find hidden words.,Hidden Words
Verbal Reasoning,easy,BOOK is to READ as FORK is to ___,Cook,Eat,Kitchen,Knife,Eat,What do you DO with a book? Now what do you DO with a fork?,ANALOGIES — Function type: A book is used TO READ. A fork is used TO EAT. Find the action/purpose relationship. BOOK:READ = FORK:EAT.,Analogies
Verbal Reasoning,easy,Which word is the ODD ONE OUT: happy glad joyful sad elated?,glad,elated,joyful,sad,sad,Four of these words mean similar things. Which one means something different?,SYNONYMS vs ANTONYMS: happy/glad/joyful/elated are all synonyms meaning feeling good. SAD is the antonym — opposite meaning. Odd one out = different category/meaning.,Odd One Out
Verbal Reasoning,easy,"Move ONE letter from the first word to the second to make two new words: BRAND → ___ + ___ RAN",b,d,a,n,b,Removing one letter from BRAND makes a new word. That removed letter goes before RAN.,LETTER TRANSFER: BRAND − B = RAND (not a word). BRAND − R = BAND ✓. Then B + RAN = BRAN ✓. Answer: Remove R to make BAND and BRAN. Check BOTH words are valid.,Word Building
Verbal Reasoning,easy,"Find the missing letters: AB CD EF GH ___",HI,IJ,IK,JK,IJ,These are pairs of consecutive letters of the alphabet. What pair comes after GH?,LETTER SEQUENCES: AB(1-2) CD(3-4) EF(5-6) GH(7-8) IJ(9-10). Each pair advances 2 positions in the alphabet. Memorise alphabet positions for speed.,Letter Sequences
Verbal Reasoning,easy,LARGE is to SMALL as HEAVY is to ___,Big,Light,Weight,Thin,Light,LARGE and SMALL are opposites. Find the opposite of HEAVY.,ANTONYM ANALOGIES: Large↔Small (size opposites). Heavy↔Light (weight opposites). These are degree/scale opposites.,Analogies
Verbal Reasoning,easy,"Which word contains a smaller word meaning 'to look'?: SEARCHING FINDING SEEKING GLANCING",FINDING,SEEKING,SEARCHING,GLANCING,SEARCHING,Find a 3-4 letter word meaning 'to look' hidden inside each option.,HIDDEN WORDS with meaning: SEARCHING contains 'SEE' (no)... contains 'EAR'... GLANCING contains 'LANCE'. SEEKING contains 'SEE' — a word meaning to look! SEEking.,Hidden Words
Verbal Reasoning,easy,"What is the RULE: AZ BY CX DW ___?",EV,EU,FV,EW,EV,Look at both letters together. The first goes forward through the alphabet; the second goes backward.,LETTER PATTERNS — two rules at once: First letters A B C D E (going forwards). Second letters Z Y X W V (going backwards). Next pair: EV.,Letter Sequences
Verbal Reasoning,easy,Complete the word: S_N_T_R (clue: a person who makes laws),Senator,Sanitor,Sunstar,Sonatar,Senator,This is a person in government — think of American or Roman government.,WORD COMPLETION: S_N_T_R = SENATOR (a member of a senate / lawmaking body). Techniques: try common vowels (A E I O U) in each gap systematically.,Vocabulary
Verbal Reasoning,easy,BIRD is to FLOCK as FISH is to ___,Pack,Herd,Shoal,Colony,Shoal,A group of birds is a flock. What is the special word for a group of fish?,COLLECTIVE NOUNS: Flock of birds/sheep. Shoal/school of fish. Herd of cattle. Pack of wolves. Pride of lions. Pod of whales. Learn these by category.,Collective Nouns
Verbal Reasoning,easy,"Find the word that can follow all three: FOOT BASKET HAND",print,ball,stand,made,ball,Which word can attach to the end of ALL THREE words to make compound words?,COMPOUND WORDS: FOOTball ✓ BASKETball ✓ HANDball ✓. Test each option with all three words. Compound words are formed by joining two words together.,Compound Words
Verbal Reasoning,easy,Which word is MOST SIMILAR in meaning to COURAGEOUS?,Timid,Cowardly,Brave,Fearful,Brave,Think of a person running into danger to help others. What one word describes them?,SYNONYMS for COURAGEOUS: Brave/Bold/Fearless/Valiant/Heroic/Daring. Antonyms: Timid/Cowardly/Fearful/Craven.,Synonyms
