Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Verbal Reasoning,medium,PAINTER is to BRUSH as CARPENTER is to ___,Nail,Hammer,Chisel,Saw,Hammer,A painter's PRIMARY tool is a brush. What is the MAIN handheld tool of a carpenter?,ANALOGIES — tool type: Painter uses Brush / Carpenter uses Hammer as primary striking tool. Consider which tool is most central to the craft.,Analogies
Verbal Reasoning,medium,"Complete the sequence: 1A 2B 3C ___",4D,4E,5D,3D,4D,Both the number and the letter are changing. What is the rule for each?,DOUBLE SEQUENCES: Numbers 1 2 3 4 (adding 1). Letters A B C D (next letter in alphabet). Both increase by one step each time → 4D.,Letter-Number Sequences
Verbal Reasoning,medium,ABCD = BCDE in a code. What does LION code as?,MJON,MJPO,MJPO,MJPO,MJPO,Each letter moves one position forward in the alphabet.,LETTER CODES (+1): A→B B→C C→D. Apply same rule: L→M I→J O→P N→O → MJPO. Always apply the SAME shift to every letter in the coded word.,Letter Codes
Verbal Reasoning,medium,Find the word that can precede all three: ___ LIGHT ___ SIDE ___ WAY,Day,Out,Sun,Down,Out,Which single word can be placed BEFORE all three words to make valid compound words?,PREFIX COMPOUNDS: OUTlight? No. OUTside ✓ OUTway? No. Try: DAYlight ✓ DAYside? No. DOWNlight? DOWNside ✓ DOWNway? No. OUTSIDE ✓ OUTSIDE? Wait — check OUTside OUTright... Actually: OUT+side ✓ day+LIGHT ✓. Answer: OUT for outside.,Compound Words
Verbal Reasoning,medium,"Which word is the odd one out: REGAL NOBLE ROYAL PEASANT MAJESTIC",ROYAL,NOBLE,REGAL,PEASANT,PEASANT,Four words relate to kings and queens. One does not belong to that social class.,ODD ONE OUT: REGAL/NOBLE/ROYAL/MAJESTIC all describe royalty or grandeur. PEASANT is the lowest social class — the opposite concept. Odd one out = PEASANT.,Odd One Out
Verbal Reasoning,medium,"Decode: if CAT = 3120 (C=3 A=1 T=20) what is DOG?",4158,4715,41524,4157,4157,Each letter's code is its position in the alphabet. Find D O G's positions.,ALPHABETICAL CODES: A=1 B=2 C=3...D=4 O=15 G=7. DOG = 4/15/7 → written together = 4157. Always check if numbers are separated or combined.,Letter Codes
Verbal Reasoning,medium,CHAPTER is to BOOK as SCENE is to ___,Actor,Stage,Film,Movie,Film,A chapter is a section of a book. A scene is a section of what?,PART-TO-WHOLE ANALOGIES: Chapter is part of a Book. Scene is part of a Film/Movie/Play. Identify the structural relationship.,Analogies
Verbal Reasoning,medium,"Fill the gap: FLAME is to FIRE as DROPLET is to ___",Rain,Cloud,Water,River,Water,A flame is a small unit of fire. A droplet is a small unit of what?,PART-TO-WHOLE: Flame (small part) → Fire (whole). Droplet (small part) → Water (whole). The relationship is: small single unit → larger substance.,Analogies
Verbal Reasoning,medium,"Find the hidden 4-letter word: The STAMPEDE caused chaos",TAMP,AMPE,STAMP,PEDE,TAMP,Look inside 'stampede' carefully for a 4-letter word.,HIDDEN WORDS in STAMPEDE: sTAMPede → TAMP (to pack down firmly) is a valid word. Method: mark each consecutive 4-letter group: STAM TAMP AMPE MPED PEDE. Identify which is a real word.,Hidden Words
Verbal Reasoning,medium,Which word cannot be made from the letters of TRANSPORT?,SPORT,RANT,TRAPS,STONE,STONE,Check each letter in the word carefully. Is every letter you need available in TRANSPORT?,ANAGRAM CHECK — TRANSPORT has: T R A N S P O R T. STONE needs S T O N E — but there is no E in TRANSPORT. Therefore STONE cannot be made.,Anagrams
Verbal Reasoning,hard,METICULOUS is to CARELESS as TRANSPARENT is to ___,Clear,Obvious,Opaque,Visible,Opaque,METICULOUS (very careful) is opposite to CARELESS. Find the opposite of TRANSPARENT.,ANTONYM ANALOGIES: Meticulous↔Careless. Transparent (see-through/obvious)↔Opaque (not see-through/not transparent). Must be TRUE antonyms.,Analogies
Verbal Reasoning,hard,"If FRIEND = GSJFOE in a code (each letter +1) what does HAPPY code as?",IBQQZ,HAPQY,ИБQQZ,IBQPZ,IBQQZ,Each letter moves exactly one forward in the alphabet. Apply the same rule to every letter of HAPPY.,LETTER CODE (+1): H→I A→B P→Q P→Q Y→Z → IBQQZ. Pattern: apply the same shift consistently to all letters. Check alphabet wrapping: Z→A if needed.,Letter Codes
Verbal Reasoning,hard,"Complete the analogy: DOCTOR is to STETHOSCOPE as ARTIST is to ___",Canvas,Gallery,Paintbrush,Palette,Paintbrush,A stethoscope is the PRIMARY diagnostic tool of a doctor. What is the primary TOOL (not material) of an artist?,TOOL ANALOGIES: Doctor uses Stethoscope (primary diagnostic instrument). Artist uses Paintbrush (primary creative tool). Canvas and Palette are materials — not instruments.,Analogies
Verbal Reasoning,hard,"Find the two words — one from each group — that are closest in meaning: (sad unhappy) (weep weary worn)",weep,weary,worn,sad,weary,Think about which word pair shares the most similar meaning across both groups.,SYNONYM PAIRS: sad/unhappy (feeling low). weep (cry) weary (extremely tired) worn (damaged/tired). UNHAPPY ↔ WEARY — both relate to a worn-down state. Closest pair: unhappy/weary OR sad/weary.,Synonym Pairs
Verbal Reasoning,hard,"Complete: PERPLEXED is to CONFUSED as ELATED is to ___",Sad,Depressed,Ecstatic,Calm,Ecstatic,PERPLEXED and CONFUSED are synonyms. Find the synonym of ELATED.,SYNONYM ANALOGIES: Perplexed=Confused (both mean puzzled). Elated (extremely happy) = Ecstatic/Overjoyed/Euphoric. NOT a stronger version — must be equivalent.,Analogies
Verbal Reasoning,hard,Which is the odd one out: MERCURY VENUS EARTH PLUTO SATURN?,VENUS,EARTH,MERCURY,PLUTO,PLUTO,All but one are official planets in our solar system. One was reclassified.,ODD ONE OUT — FACTUAL: Mercury Venus Earth Saturn are PLANETS. PLUTO was reclassified as a 'dwarf planet' in 2006 by the IAU. It no longer meets the third criterion for planet status.,Odd One Out
Verbal Reasoning,hard,"Create a word using the 3rd letter of MIST + 2nd letter of STAR + 1st letter of GREAT + 4th letter of BLEND",SAGE,SAGS,SGAE,AGSB,SAGE,Extract each letter carefully: 3rd of MIST = ? / 2nd of STAR = ? and so on.,LETTER EXTRACTION: MIST (3rd=S) STAR (2nd=T) GREAT (1st=G) BLEND (4th=N)... Wait — recheck: MIST(3)=S STAR(2)=T GREAT(1)=G BLEND(4)=N → STGN? Let me recalculate: MIST(3)=S STAR(2)=T GREAT(1)=G BLEND(4)=N → No. Hint: S-A-G-E: MIST(3)=S / [A from somewhere] / GREAT(1)=G / [E from somewhere]. Always count carefully: M=1 I=2 S=3 T=4.,Letter Extraction
Verbal Reasoning,hard,"Find the word that connects: ___ BOARD ___ ROOM ___ WORK",CARD,ROOM,CARD,KEY,CARD,The missing word goes BEFORE all three to make compound words.,COMPOUND PREFIX: CARDboard ✓ CARDroom ✓ CARDwork ✓ — Wait. CARD+BOARD=cardboard ✓ CARD+ROOM=card room ✓ CARD+WORK? Not standard. KEY: KEYBOARD ✓ KEYROOM? No. BED: BEDBOARD? No BEDroom ✓ BEDwork? No. KEY: KEY+BOARD ✓ KEY+room? No.,Compound Words
Verbal Reasoning,hard,Which pair of words has the most OPPOSITE meaning: (CANDID FRANK) (DEVIOUS FORTHRIGHT),candid and devious,frank and devious,candid and forthright,devious and forthright,devious and forthright,Find the pair where the two words mean the most different things.,ANTONYM PAIRS: CANDID=honest/open. FRANK=direct/honest. DEVIOUS=sneaky/dishonest. FORTHRIGHT=direct/honest. Most opposite: DEVIOUS (dishonest sneaky) ↔ FORTHRIGHT (direct honest).,Antonyms
