Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Maths,medium,A recipe needs 300g of flour for 4 people. How much for 10 people?,600g,650g,700g,750g,750g,Find the amount for 1 person first (unitary method) then multiply by 10.,UNITARY METHOD: 300g ÷ 4 = 75g per person. For 10 people: 75 × 10 = 750g. Always find the 'one unit' value first in proportion problems.,Proportion
Maths,medium,What is 2.4 × 0.5?,1.2,1.4,0.12,12,1.2,0.5 is the same as a half. What is half of 2.4?,DECIMALS: 0.5 = ½. 2.4 × 0.5 = 2.4 ÷ 2 = 1.2. Multiplying by 0.1 = divide by 10. Multiplying by 0.5 = divide by 2.,Decimals
Maths,medium,"What is the next term: 2, 5, 10, 17, 26, ___?",35,37,36,38,37,The differences between terms are: 3 5 7 9 — what comes next in that pattern?,SEQUENCES WITH INCREASING DIFFERENCES: 2→5(+3)→10(+5)→17(+7)→26(+9)→37(+11). The differences increase by 2 each time. This is a quadratic sequence.,Number Sequences
Maths,hard,"If 2x + 3y = 12 and x = 3, what is y?",1,2,3,4,2,Substitute x=3 into the equation and solve for y.,SUBSTITUTION: 2(3)+3y=12 → 6+3y=12 → 3y=6 → y=2. Always substitute known values first then solve the resulting one-variable equation.,Algebra
Maths,hard,A bag has 3 red 5 blue and 2 green balls. What is P(not red)?,3/10,7/10,1/3,2/5,7/10,Find the probability of NOT red: this includes ALL other colours combined.,PROBABILITY: P(not red) = 1 − P(red) = 1 − 3/10 = 7/10. Or count non-red balls: 5+2=7 out of 10. Complementary probability: P(A) + P(not A) = 1.,Probability
Maths,hard,"Factorise: x² + 5x + 6",( x+2)(x+3),(x+1)(x+6),(x+2)(x+4),(x+3)(x+4),(x+2)(x+3),Find two numbers that multiply to 6 AND add to 5.,FACTORISING QUADRATICS: x²+5x+6. Find pairs that multiply to 6: (1×6) (2×3). Which adds to 5? → 2+3=5. So (x+2)(x+3). Check by expanding: x²+3x+2x+6=x²+5x+6 ✓,Algebra
Maths,hard,"A cyclist travels 12km at 16km/h then 8km at 8km/h. What is the average speed for the whole journey?",11km/h,12km/h,12.5km/h,10.67km/h,12km/h,Average speed = TOTAL distance ÷ TOTAL time (not the average of the two speeds).,AVERAGE SPEED = Total Distance ÷ Total Time. Time₁=12÷16=0.75h. Time₂=8÷8=1h. Total distance=20km. Total time=1.75h. Avg speed=20÷1.75≈11.4km/h. NEVER average the speeds.,Speed Distance Time
Maths,hard,The area of a circle is 49π cm². What is the radius?,7cm,14cm,7π cm,49cm,7cm,Area of circle = πr². Set πr² = 49π and solve for r.,CIRCLE FORMULAE: Area = πr². Circumference = 2πr = πd. If πr²=49π → r²=49 → r=√49=7cm. Diameter = 2r = 14cm.,Circle Geometry
Maths,hard,"A number is increased by 20% then decreased by 20%. What is the overall % change?",0%,−4%,+4%,−2%,−4%,Try with a starting number like 100. Increase then decrease and see what happens.,PERCENTAGE CHANGE: Start=100. +20%=120. −20% of 120=24. 120−24=96. Change=96−100=−4. Overall: −4%. Percentages are NOT additive — always work from the current value.,Percentages
Maths,hard,"The angles of a quadrilateral are 70° 110° 85° and x°. Find x.",85°,90°,95°,100°,95°,Angles in a quadrilateral always add up to a specific total. Use that total to find the missing one.,ANGLES IN A QUADRILATERAL sum to 360°. 70+110+85+x=360 → 265+x=360 → x=95°. Formula: (n−2)×180° → (4−2)×180=360°.,Angles
Maths,hard,"If the volume of a cuboid is 120cm³ with length 5cm and width 4cm, find the height.",4cm,5cm,6cm,7cm,6cm,Volume = length × width × height. Rearrange to find height.,VOLUME OF CUBOID = length × width × height. 120 = 5 × 4 × h → 120 = 20h → h = 6cm. Volume is measured in cubic units (cm³).,Volume
Maths,hard,"A car depreciates in value by 15% per year. It costs £20000 new. What is its value after 2 years?",£14450,£14400,£14000,£13250,£14450,After year 1 it's worth 85% of the original. Then take 85% of THAT value for year 2.,COMPOUND DEPRECIATION: Year1 = 20000×0.85=17000. Year2 = 17000×0.85=14450. Formula: Final = Initial × (multiplier)ⁿ = 20000×(0.85)²=14450.,Compound Percentages
Maths,hard,"Find the nth term of: 3, 7, 11, 15, 19...",2n+1,4n−1,3n+1,n+4,4n−1,Find the common difference. It is the coefficient of n. Then work out the constant.,NTH TERM of arithmetic sequence: difference=4 so 4n. When n=1: 4×1=4 but we need 3 → subtract 1 → 4n−1. Check: n=2: 4×2−1=7 ✓ n=3: 4×3−1=11 ✓,Number Sequences
Maths,hard,"Solve: 5(2x − 3) = 25",4.5,3.5,4,5.5,4,Expand the brackets first then solve the linear equation.,EXPANDING AND SOLVING: 5(2x−3)=25 → 10x−15=25 → 10x=40 → x=4. Check: 5(2×4−3)=5(8−3)=5×5=25 ✓. Always expand brackets before collecting terms.,Algebra
